RMS V	RMS I	PF	Active power	Reactive power	Apparent power	TV	Microwave	Fan
248.16	0.36	0.67	1	1.1	1.49	0	0	1
248.21	0.36	0.67	3.96	4.37	5.9	0	0	1
248.55	0.36	0.67	7.77	8.58	11.58	0	0	1
248.54	0.36	0.67	7.37	8.11	10.96	0	0	1
248.34	0.36	0.67	6.68	7.4	9.97	0	0	1
248.6	0.36	0.67	61.46	67.96	91.62	0	0	1
248.25	0.36	0.67	2.05	2.26	3.05	0	0	1
248.22	0.36	0.67	5.36	5.94	7.99	0	0	1
248.35	0.36	0.67	55.18	60.86	82.15	0	0	1
248.18	0.36	0.67	1.14	1.25	1.7	0	0	1
248.2	0.36	0.67	4.53	5.02	6.76	0	0	1
248.33	0.36	0.67	7.78	8.57	11.58	0	0	1
248.37	0.36	0.67	7.27	7.98	10.79	0	0	1
248.58	0.36	0.67	6.76	7.44	10.05	0	0	1
248.32	0.36	0.67	6.26	6.9	9.31	0	0	1
248.35	0.36	0.67	61.31	67.76	91.38	0	0	1
248.24	0.36	0.67	1.61	1.77	2.4	0	0	1
248.45	0.36	0.67	5.12	5.65	7.62	0	0	1
248.55	0.36	0.67	53.25	58.67	79.24	0	0	1
248.38	0.36	0.67	0.75	0.83	1.12	0	0	1
248.21	0.36	0.67	3.98	4.4	5.94	0	0	1
248.32	0.36	0.67	8.11	8.94	12.07	0	0	1
248.37	0.36	0.67	7.67	8.45	11.41	0	0	1
248.8	0.36	0.67	7.21	7.92	10.71	0	0	1
248.34	0.36	0.67	7.17	7.9	10.67	0	0	1
248.35	0.36	0.67	6.58	7.27	9.81	0	0	1
248.35	0.36	0.67	61.23	67.83	91.38	0	0	1
248.24	0.36	0.67	1.78	1.96	2.64	0	0	1
248.22	0.36	0.67	5.39	5.96	8.04	0	0	1
248.37	0.36	0.67	8.5	9.37	12.65	0	0	1
248.62	0.36	0.67	8.45	9.25	12.52	0	0	1
248.38	0.36	0.67	8.06	8.93	12.03	0	0	1
248.37	0.36	0.67	7.9	8.74	11.78	0	0	1
248.37	0.36	0.67	7.5	8.27	11.16	0	0	1
248.35	0.36	0.67	6.63	7.34	9.89	0	0	1
248.38	0.36	0.67	59.03	65.24	87.98	0	0	1
248.34	0.36	0.67	1.36	1.5	2.03	0	0	1
248.2	0.36	0.67	4.73	5.23	7.05	0	0	1
248.33	0.36	0.67	7.94	8.76	11.82	0	0	1
248.61	0.36	0.67	7.22	7.97	10.75	0	0	1
248.34	0.36	0.67	7.01	7.72	10.42	0	0	1
248.33	0.36	0.67	6.93	7.62	10.3	0	0	1
248.32	0.36	0.67	6.02	6.67	8.98	0	0	1
248.35	0.36	0.67	58.77	65.15	87.74	0	0	1
248.23	0.36	0.67	1.58	1.75	2.35	0	0	1
248.67	0.36	0.67	5.47	6	8.12	0	0	1
248.58	0.36	0.67	56.49	62.3	84.09	0	0	1
248.17	0.36	0.67	1	1.1	1.49	0	0	1
248.19	0.36	0.67	3.82	4.22	5.69	0	0	1
248.31	0.36	0.67	8.03	8.85	11.95	0	0	1
248.36	0.36	0.67	7.06	7.78	10.51	0	0	1
248.31	0.36	0.67	6.64	7.33	9.89	0	0	1
248.35	0.36	0.67	63.47	70.39	94.78	0	0	1
248.25	0.36	0.67	1.64	1.81	2.44	0	0	1
248.21	0.36	0.67	5.86	6.48	8.74	0	0	1
248.36	0.36	0.67	57.77	64.09	86.28	0	0	1
248.37	0.36	0.67	1.75	1.93	2.6	0	0	1
248.21	0.36	0.67	5.04	5.56	7.5	0	0	1
248.33	0.36	0.67	55.19	61.18	82.39	0	0	1
248.14	0.36	0.67	0.64	0.71	0.96	0	0	1
248.66	0.36	0.67	3.84	4.25	5.73	0	0	1
248.36	0.36	0.67	8.13	8.92	12.07	0	0	1
248.37	0.36	0.67	7.56	8.33	11.25	0	0	1
248.36	0.36	0.67	7.25	8	10.79	0	0	1
248.33	0.36	0.67	7.15	7.87	10.63	0	0	1
248.34	0.36	0.67	6.64	7.33	9.89	0	0	1
248.36	0.36	0.67	59.24	65.37	88.22	0	0	1
248.44	0.36	0.67	1.39	1.53	2.07	0	0	1
248.2	0.36	0.67	5.05	5.6	7.54	0	0	1
248.33	0.36	0.67	8.81	9.75	13.14	0	0	1
248.62	0.36	0.67	8.2	9.03	12.19	0	0	1
248.38	0.36	0.67	7.9	8.74	11.78	0	0	1
248.38	0.36	0.67	7.76	8.59	11.58	0	0	1
248.35	0.36	0.67	7.66	8.46	11.41	0	0	1
248.35	0.36	0.67	7.17	7.9	10.67	0	0	1
248.32	0.36	0.67	6.88	7.61	10.26	0	0	1
235.15	0.33	0.63	42.2	51.61	66.67	1	0	0
235.72	0.33	0.63	13.22	16.32	21	1	0	0
235.92	0.33	0.63	78.08	96.24	123.93	1	0	0
235.6	0.33	0.63	4.04	4.95	6.39	1	0	0
235.35	0.33	0.63	4.54	5.58	7.19	1	0	0
235.33	0.33	0.63	4.03	4.96	6.39	1	0	0
235.34	0.33	0.63	3.52	4.34	5.59	1	0	0
235.33	0.33	0.63	4.33	5.34	6.87	1	0	0
235.33	0.33	0.63	5.06	6.19	8	1	0	0
235.29	0.33	0.63	5.95	7.33	9.44	1	0	0
235.3	0.33	0.63	6.26	7.7	9.92	1	0	0
235.5	0.33	0.63	5.64	6.96	8.96	1	0	0
235.32	0.33	0.63	6.77	8.32	10.73	1	0	0
235.37	0.33	0.63	17.82	21.89	28.23	1	0	0
235.29	0.33	0.63	56.3	69.47	89.42	1	0	0
235.21	0.33	0.63	8.76	10.72	13.84	1	0	0
235.15	0.33	0.63	41.31	50.89	65.54	1	0	0
235.7	0.33	0.63	13.26	16.29	21	1	0	0
235.94	0.33	0.63	78.37	96.01	123.93	1	0	0
